# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.265859518162e-01       4.148982727989e+03 
       1.298124616807e-01       4.037710099523e+03 
       1.330390628239e-01       3.914776150151e+03 
       1.362657225205e-01       3.779277530605e+03 
       1.394924207046e-01       3.632552854212e+03 
       1.427191450094e-01       3.477753532129e+03 
       1.459458877552e-01       3.319212280208e+03 
       1.491726441202e-01       3.161769520377e+03 
       1.523994110302e-01       3.010123458338e+03 
       1.556261864823e-01       2.868335381864e+03 
       1.588529691349e-01       2.739454618758e+03 
       1.620797580568e-01       2.625356501553e+03 
       1.653065525749e-01       2.526673979775e+03 
       1.685333521808e-01       2.442902043761e+03 
       1.717601564730e-01       2.372563394853e+03 
       1.749869651217e-01       2.313442871811e+03 
       1.782137778468e-01       2.262840800426e+03 
       1.814405944037e-01       2.217849345680e+03 
       1.846674145743e-01       2.175914677960e+03 
       1.878942381616e-01       2.134467107321e+03 
       1.911210649854e-01       2.091001817762e+03 
       1.943478948798e-01       2.044031227382e+03 
       1.975747276909e-01       1.992820398728e+03 
       2.008015632758e-01       1.937382054118e+03 
       2.040284015011e-01       1.878439795706e+03 
       2.072552422419e-01       1.817194156563e+03 
       2.104820853815e-01       1.755132600203e+03 
       2.137089308102e-01       1.693797383816e+03 
       2.169357784250e-01       1.634604050016e+03 
       2.201626281290e-01       1.578732235676e+03 
       2.233894798310e-01       1.527049293756e+03 
       2.266163334450e-01       1.480094083105e+03 
       2.298431888899e-01       1.438061592725e+03 
       2.330700460891e-01       1.400840595588e+03 
       2.362969049703e-01       1.368024048573e+03 
       2.395237654650e-01       1.338962761886e+03 
       2.427506275084e-01       1.312829946591e+03 
       2.459774910393e-01       1.288709040933e+03 
       2.492043559994e-01       1.265688239831e+03 
       2.524312223337e-01       1.242950948682e+03 
       2.556580899896e-01       1.219837125535e+03 
       2.588849589176e-01       1.195894490154e+03 
       2.621118290703e-01       1.170880883267e+03 
       2.653387004028e-01       1.144754269689e+03 
       2.685655728723e-01       1.117663818307e+03 
       2.717924464381e-01       1.089888246094e+03 
       2.750193210613e-01       1.061844978273e+03 
       2.782461967050e-01       1.033984520202e+03 
       2.814730733339e-01       1.006790584765e+03 
       2.846999509142e-01       9.806922263796e+02 
       2.879268294139e-01       9.560303067065e+02 
       2.911537088021e-01       9.330303474463e+02 
       2.943805890495e-01       9.117727340698e+02 
       2.976074701280e-01       8.922258215635e+02 
       3.008343520107e-01       8.742527494805e+02 
       3.040612346719e-01       8.576449437462e+02 
       3.072881180869e-01       8.421498065580e+02 
       3.105150022321e-01       8.274939245363e+02 
       3.137418870848e-01       8.134021160482e+02 
       3.169687726234e-01       7.996178729224e+02 
       3.201956588269e-01       7.859155877912e+02 
       3.234225456755e-01       7.721253448248e+02 
       3.266494331498e-01       7.581397594024e+02 
       3.298763212314e-01       7.439222489435e+02 
       3.331032099027e-01       7.295066163044e+02 
       3.363300991464e-01       7.149788809683e+02 
       3.395569889463e-01       7.004585203931e+02 
       3.427838792866e-01       6.860805687670e+02 
       3.460107701520e-01       6.719797106903e+02 
       3.492376615280e-01       6.582736211622e+02 
       3.524645534005e-01       6.450650281686e+02 
       3.556914457558e-01       6.324275341112e+02 
       3.589183385809e-01       6.204097668410e+02 
       3.621452318632e-01       6.090289539676e+02 
       3.653721255906e-01       5.982620104139e+02 
       3.685990197512e-01       5.880555477653e+02 
       3.718259143338e-01       5.783310794544e+02 
       3.750528093274e-01       5.689959954446e+02 
       3.782797047215e-01       5.599507569109e+02 
       3.815066005058e-01       5.511119643386e+02 
       3.847334966705e-01       5.424092027361e+02 
       3.879603932060e-01       5.337902805345e+02 
       3.911872901032e-01       5.252222927615e+02 
       3.944141873532e-01       5.166870153253e+02 
       3.976410849472e-01       5.081821142609e+02 
       4.008679828770e-01       4.997170226890e+02 
       4.040948811345e-01       4.913153242406e+02 
       4.073217797119e-01       4.830089051142e+02 
       4.105486786016e-01       4.748378977964e+02 
       4.137755777962e-01       4.668411537070e+02 
       4.170024772887e-01       4.590517220356e+02 
       4.202293770721e-01       4.514930893132e+02 
       4.234562771399e-01       4.441767857171e+02 
       4.266831774854e-01       4.371045857344e+02 
       4.299100781025e-01       4.302698291939e+02 
       4.331369789851e-01       4.236642528338e+02 
       4.363638801272e-01       4.172731736196e+02 
       4.395907815231e-01       4.110802402346e+02 
       4.428176831672e-01       4.050640935539e+02 
       4.460445850541e-01       3.992003993549e+02 
       4.492714871786e-01       3.934627580331e+02 
       4.524983895356e-01       3.878257836145e+02 
       4.557252921201e-01       3.822691691578e+02 
       4.589521949273e-01       3.767796042677e+02 
       4.621790979526e-01       3.713504621568e+02 
       4.654060011913e-01       3.659817575746e+02 
       4.686329046390e-01       3.606771002450e+02 
